loss,accuracy,val_loss,val_accuracy
4.351647853851318,0.02891748584806919,4.4281206130981445,0.03140024095773697
4.187485694885254,0.03376230224967003,4.579588413238525,0.03290264308452606
4.15437126159668,0.03467070311307907,4.160177707672119,0.033954326063394547
4.130008220672607,0.031945496797561646,4.1007771492004395,0.03485576808452606
4.1018595695495605,0.03815291449427605,4.071418762207031,0.03725961595773697
4.0851945877075195,0.037547312676906586,4.236515998840332,0.03530649095773697
4.065751552581787,0.03542770445346832,4.611271381378174,0.017578125
4.062098026275635,0.0357305072247982,4.04256010055542,0.038311298936605453
4.050917148590088,0.0389099158346653,4.158380508422852,0.037109375
4.0375075340271,0.03845571354031563,4.418569564819336,0.022536057978868484
